1st half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,MA001,5,MA101,336,ME335,19,CE303,25,EE330,60,CB303,24,CS547,14,EE511,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,HS103,336,ME313,50,CS354,61,EE381,59,PH001,5,CB305,24,CS574,25,CB501,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,CE317,25,HS351,19,PH103,168,CH001,5,HS513,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,PH301,72,HS301,57,HS001,5,CH103,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,CE321,26,EE350,62,CS321,61,ME315,50,CB301,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,CE111,336,CS384,54,CS303,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,CE319,25,EE370,60,ME331,50,CS577,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd half ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,MA523,12,MA201,244,CE545,39,ME533,34,ME504,15,EE534,21,CS541,15,MC503,14,MA421,19,PH421,18,PH523,8,PH701,15,MM505,15,CH601,13,CH421,17,HS725,5,,,,,,,,,,
Tuesday,,MA533,14,HS201,96,CE517,17,HS231,112,MA423,19,HS233,36,CS503,32,EE530,14,HS701,6,ME503,26,ME525,7,MH501,14,PH423,18,PH704,6,PH604,7,EE486,50,MM503,18,CH423,17,CH521,11,EE540,11,MA509,4
Wednesday,,MA527,9,MA427,19,HS451,68,CE213,29,PH401,92,EE200,64,MH503,41,CS204,69,PH429,18,PH521,8,EE532,14,ME207,59,CS501,14,MM501,16,CB203,25,CH425,17,CH523,11,,,,,,,,
Thursday,,MA531,7,CE547,29,MA429,19,CE203,29,CS561,25,HS504,7,EE221,63,HS733,3,PH427,18,CS206,69,PH525,12,ME537,43,ME742,8,EE523,38,EE507,16,ME209,60,MS509,1,CB407,21,CB205,24,CH427,17,CH525,11
Friday,,MA525,12,CE505,17,ME431,46,MA425,19,EE512,35,CE211,29,HS732,4,EE201,64,PH527,9,ME521,12,PH702,11,PH425,18,CS508,15,HS711,4,ME231,59,MM511,15,CB401,20,CB211,24,CH429,17,CH401,1,CS544,11
Saturday,,MA521,12,CE507,16,CS564,120,CB503,17,CH605,22,EE101,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,MA501,33,CE549,37,MA541,6,ME501,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
